nameWithOwner,createdAt,updatedAt,releases.totalCount,primaryLanguage.name,pullRequests.totalCount,totalIssues.totalCount,closedIssues.totalCount
soimort/you-get,2012-08-20T15:53:36Z,2022-08-25T14:33:16Z,117,Python,558,0,0
jekyll/jekyll,2008-10-20T06:29:03Z,2022-08-25T12:40:59Z,103,Ruby,3021,4580,4493
anuraghazra/github-readme-stats,2020-07-09T10:34:22Z,2022-08-25T14:24:23Z,0,JavaScript,385,760,671
NARKOZ/hacker-scripts,2015-11-21T19:05:09Z,2022-08-25T11:16:24Z,0,JavaScript,63,73,38
scrapy/scrapy,2010-02-22T02:01:14Z,2022-08-25T10:55:44Z,27,Python,1819,2678,2163
prometheus/prometheus,2012-11-24T11:14:12Z,2022-08-25T12:36:32Z,225,Go,4811,4692,4200
prettier/prettier,2016-11-29T17:13:37Z,2022-08-25T14:11:05Z,85,JavaScript,6329,5651,4742
wasabeef/awesome-android-ui,2014-12-24T01:45:03Z,2022-08-25T12:45:17Z,0,,90,97,91
bradtraversy/design-resources-for-developers,2020-05-06T14:40:35Z,2022-08-25T14:34:39Z,0,,793,80,80
serverless/serverless,2015-04-21T03:48:40Z,2022-08-25T12:28:08Z,348,JavaScript,4288,5730,4832
git/git,2008-07-23T14:21:26Z,2022-08-25T14:05:19Z,0,C,3,0,0
localstack/localstack,2016-10-25T23:48:03Z,2022-08-25T14:05:28Z,55,Python,2590,3824,3521
MunGell/awesome-for-beginners,2015-10-24T19:53:36Z,2022-08-25T13:56:21Z,0,,329,101,93
juliangarnier/anime,2016-03-13T21:37:45Z,2022-08-25T12:38:05Z,14,JavaScript,72,652,483
meteor/meteor,2012-01-19T01:58:17Z,2022-08-25T13:20:00Z,0,JavaScript,1626,8765,8619
minimaxir/big-list-of-naughty-strings,2015-08-08T20:57:20Z,2022-08-25T07:41:23Z,0,Python,90,87,30
square/okhttp,2012-07-23T13:42:55Z,2022-08-25T12:38:05Z,0,Kotlin,2926,3699,3562
fighting41love/funNLP,2018-08-21T11:20:39Z,2022-08-25T09:49:12Z,0,Python,9,50,39
JetBrains/kotlin,2012-02-13T17:29:58Z,2022-08-25T14:38:12Z,189,Kotlin,1990,0,0
ziishaned/learn-regex,2017-07-22T12:21:03Z,2022-08-25T14:20:11Z,0,,124,83,34
caddyserver/caddy,2015-01-13T19:45:03Z,2022-08-25T13:03:08Z,96,Go,1405,3084,2993
Solido/awesome-flutter,2017-05-07T11:45:27Z,2022-08-25T13:55:36Z,0,Dart,414,0,0
prakhar1989/awesome-courses,2014-11-15T18:36:49Z,2022-08-25T14:26:58Z,0,,184,64,34
aymericdamien/TensorFlow-Examples,2015-11-11T14:21:19Z,2022-08-25T05:24:46Z,0,Jupyter Notebook,88,230,68
deepfakes/faceswap,2017-12-19T09:44:13Z,2022-08-25T14:38:06Z,3,Python,343,774,760
Developer-Y/cs-video-courses,2016-10-21T17:02:11Z,2022-08-25T14:25:14Z,0,,106,81,74
microsoft/playwright,2019-11-15T18:32:42Z,2022-08-25T14:21:20Z,81,TypeScript,8435,6595,5967
ColorlibHQ/AdminLTE,2013-12-25T02:52:40Z,2022-08-25T13:27:36Z,72,JavaScript,1132,2696,2647
android/architecture-samples,2016-02-05T13:42:07Z,2022-08-25T14:04:07Z,0,Kotlin,194,434,289
alacritty/alacritty,2016-02-18T05:02:30Z,2022-08-25T14:37:45Z,71,Rust,1456,4362,4060
danielmiessler/SecLists,2012-02-19T01:30:18Z,2022-08-25T14:33:30Z,17,PHP,449,197,173
babel/babel,2014-09-28T13:38:23Z,2022-08-25T14:37:23Z,313,TypeScript,4882,8232,7588
parcel-bundler/parcel,2017-08-07T16:36:47Z,2022-08-25T13:52:35Z,21,JavaScript,2009,4787,4109
nuxt/nuxt.js,2016-10-26T11:18:47Z,2022-08-25T12:21:37Z,150,JavaScript,2356,6788,6335
etcd-io/etcd,2013-07-06T21:57:21Z,2022-08-25T13:14:01Z,213,Go,6916,5896,5733
TryGhost/Ghost,2013-05-04T11:09:13Z,2022-08-25T12:56:41Z,553,JavaScript,6802,6396,6368
yarnpkg/yarn,2016-01-19T17:39:16Z,2022-08-25T10:36:00Z,150,JavaScript,1652,6412,4584
astaxie/build-web-application-with-golang,2012-08-02T11:49:35Z,2022-08-25T14:22:26Z,0,Go,757,289,181
gogs/gogs,2014-02-12T01:57:08Z,2022-08-25T14:03:13Z,74,Go,1443,4923,4134
ocornut/imgui,2014-07-21T14:29:47Z,2022-08-25T14:14:50Z,79,C++,290,4222,3569
obsproject/obs-studio,2013-10-01T02:40:31Z,2022-08-25T13:59:23Z,160,C,3037,2329,1814
DefinitelyTyped/DefinitelyTyped,2012-10-05T16:39:45Z,2022-08-25T13:58:23Z,1,TypeScript,44157,7763,7143
